notation,hierarcylevel,type,prefLabel@de,prefLabel@en,prefLabel@fr,altLabel@de,altLabel@en,altLabel@fr,definition@de,broader,related,source,creator,exactMatch,closeMatch,relatedMatch,broadMatch,narrowMatch,seeAlso
A82D86,8.0,Q2,Buntmetalllegierung,,,,,,"Sammelbezeichnung fÃ¼r farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archÃ¤ologischen Restaurierung hÃ¤ufig als allgemeiner Oberbegriff fÃ¼r kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgefÃ¼hrt wurde.",FAG415,GB5BGF,Der Brockhaus von A-Z: In drei BÃ¤nden (Mannheim 2002).,Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q355809 | https://vocab.getty.edu/aat/300011014,,,,
FGB415,9.0,Q2,Kupferlegierung,copper alloy,,Kupferlegierungen,,,"Legierung mit Kupfer als Hauptbestandteil. Parallel zur Verwendung von reinem Kupfer, steht auch die Herstellung von Kupferlegierung am Beginn der historischen Metallverarbeitung der Menschheitsgeschichte. Aufgrund der reichen VerfÃ¼gbarkeit, guten Verarbeitbarkeit und VerstÃ¤ndigkeit wurde Kupfer fÃ¼r vielerlei GegenstÃ¤nde (z.B. Schmuck, Waffen, GefÃ¤Ãe, etc.) verwendet. ",A82D86,B28FA6|GC4CA7,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000).|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q518350 | https://vocab.getty.edu/aat/300010942,,,,
BF7D14,10.0,Q2,Bronze,bronze,,Bronzen,,,"Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter UmstÃ¤nden sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze hÃ¤ufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rÃ¶tliche bis weiÃliche FÃ¤rbung aufweisen. Ebenso hÃ¤ngt die Verarbeitbarkeit maÃgeblich von den Legierungszusammensetzten ab. Die KorrosionsanfÃ¤lligkeit von Bronze entspricht im Wesentlichen der des Kupfers, wobei entsprechend der anderen Bestandteile weitere Korrosionserscheinungen auftreten kÃ¶nnen.",FGB415,B9C457,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000).|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85.",Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300010957 | https://cameo.mfa.org/wiki/Bronze,https://www.wikidata.org/wiki/Q34095,,,
C1DGG5,11.0,Q2,Arsenbronze,,,,,,antike Bronzelegierung aus Kupfer und Arsen,BF7D14,,,Kristina Fischer/ LEIZA,,,,,,
A6D8BF,11.0,Q2,Zinnbronze,,,,,,"Legierung aus Kupfer und Zinn, die je nach Gewichtsanteil der beiden Bestandteile unterschiedliche Eigenschaften aufweisen kann. Zinnbronzen mit hÃ¶herem Kupfergehalt und Zinngehalten bis ca. 10% zeichenen sich durch eine gute Festigkeit und Umformbarkeit (HÃ¤mmer-, Walz und Schmiedbarkeit) aus, wÃ¤hrend Zinnbronzen mit einem hÃ¶heren Zinngehalt an HÃ¤rte und Dehnbarkeit aber auch SprÃ¶digkeit zunehmen und daher hauptsÃ¤chlich als Gusswerkstoff verwendet werden. ",BF7D14,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85/86.",Kristina Fischer/ LEIZA,,,,,,
DG663G,11.0,Q2,Bleibronze,,,,,,Kupferlegierung aus ca. 60% Kupfer und dem Hauptlegierungsbestandteil Blei (bis zu 28%). ,BF7D14,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85.",Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300010959,,,,
A8B271,10.0,Q2,Messing,brass,,,,,"Kupferlegierung mit mindestens 50% Kupfer und Zink als zweiten Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile (z.B. Blei) kÃ¶nnen zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis brÃ¤unliche FÃ¤rbung aufweisen. Aus diesem Grund wird es unter anderem fÃ¼r Goldimitationen verwendet. Messing lÃ¤sst sich sehr gut gieÃen, ebenso gut kalt verformen sowie spanlos und spanabhebend bearbeiten, wodurch es entsprechend fÃ¼r die Herstellung von gegossenen GegenstÃ¤nden als auch getriebenen GefÃ¤Ãen verwendet wird. Messing zeigt, ebenso wie Bronze, hauptsÃ¤chlich Korrosionserscheinungen entsprechend des Hauptbestandteiles Kupfer.",FGB415,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 88/89.",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q39782 | https://vocab.getty.edu/aat/300010946 | https://cameo.mfa.org/wiki/Brass,,,,
B93G16,10.0,Q2,Tombak,tombac,,,,,"Kupfer-Zink Legierung, mit hohem Kupferanteil (> 67%) . Ãhnlich dem Messing, aber durch den hÃ¶heren Kupferanteil von deutlich rÃ¶tlicherer Farbe.",FGB415,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 88/89.",Kristina Fischer/ LEIZA,,http://d-nb.info/gnd/4745413-1 | https://vocab.getty.edu/aat/300196199 | https://cameo.mfa.org/wiki/Tombac,,,,
F387GB,9.0,Q2,Bleilegierung,lead alloy,,,,,Legierung mit Blei als Hauptbestandteil.,A82D86,G992B6,"Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S.202.",Kristina Fischer/ LEIZA,,http://d-nb.info/gnd/4145917-9 | https://vocab.getty.edu/aat/300010932 | https://cameo.mfa.org/wiki/Lead_alloys,,,,
G6A358,9.0,Q2,Zinnlegierung,tin alloy,,,,,Legierung mit Zinn als Hauptbestandteil.,A82D86,CFC44A|G78BD6," Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 80/81.| Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S. 210",Kristina Fischer/ LEIZA,,http://d-nb.info/gnd/4190903-3 | https://www.wikidata.org/wiki/Q9346089 | https://vocab.getty.edu/aat/300010978 | https://cameo.mfa.org/wiki/Tin_alloys,,,,
F15DFD,9.0,Q2,Zinklegierung,zinc alloy,,,,,Legierung mit Zink als Hauptbestandteil.,A82D86,G8AG1C,,Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q204835 | https://vocab.getty.edu/aat/300011000 | http://d-nb.info/gnd/4190861-2 | https://cameo.mfa.org/wiki/Zinc_alloys,,,,
CD3341,5.0,Q2,organisches Material,organic,,Organik| biologisches Material,,,Allgemeiner Sammelbegriff fÃ¼r natÃ¼rlich von Organismen gebildete Stoffe meist tierisch- oder pflanzlichen Ursprungs. ,B51DAF,," Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 226",Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300011792 | https://cameo.mfa.org/wiki/Organic,https://www.wikidata.org/wiki/Q1783121,,,
F2A45F,6.0,Q2,Materialien tierischen Ursprungs,animal material,,,,,Ãberbegriff fÃ¼r organische Materialien die aus verschiedenen Teilen eines Tieres hergestellt werden.,CD3341,,,Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300011793,,,,
BA652F,7.0,Q2,Kollagenhaltiges Material,collagenous material,,,,,Kollagenhaltiges tierisches Material,F2A45F,,,Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300192949,,,,
FCF757,8.0,Q2,Tierhaut,animal skin,,,,,"organisches Material aus der vom KÃ¶rper abgetrennten, Ã¤uÃersten GewebehÃ¼lle von Tieren, die durch verschiedene Verfahren haltbar und weiter verarbeitbar gemacht wurde.",BA652F,,,LEIZA,,,,,,
D73F9B,9.0,Q2,Leder,leather,,,,,"Durch chemische Bearbeitung (Gerbung) haltbar gemachte Tierhaut. In der Antike und im Mittelalter wurde Leder vor allem fÃ¼r Schuhe, Kleidung und BehÃ¤ltnisse verwendet.",FCF757,,DIN EN 16484,LEIZA,,https://cameo.mfa.org/wiki/Leather | https://vocab.getty.edu/aat/300011845,,,,
B9C731,9.0,Q2,Pergament,parchment,,,,,"Von Haaren befreite und unter Spannung getrocknete sehr dÃ¼nne Tierhaut, die aus einem Geflecht von Collagenfasern besteht und in den meisten FÃ¤llen von Schaf, Kalb oder Ziege gewonnen wurde. Durch mehrere Verarbeitungsschritte wie Kalken,  enthaaren, Schaben und das Trocknen unter Spannung entsteht ein nahezu durchsichtiges, festes Material, welches zum Schreiben, Buchbinden oder fÃ¼r andere Zwecke verwendet wird. ",FCF757,,"Julia Becker, Tino Licht, Bernd SchneidmÃ¼ller, Pergament. In: Thomas Meier, Michael Ott, Rebecca Sauer (Hrsg), Materiale Textkulturen. Konzepte - Materialien - Praktiken. Materiale Textkulturen Bd. 1, Berlin 2015, S. 337.",LEIZA,,,,,,
A82C8C,9.0,Q2,Rohhaut,rawhide,,,,,"Von Fleisch und Haaren befreite und getrocknete, ungegerbte Tierhaut",FCF757,,,,,,,,,
GG2137,8.0,Q2,Tierfell,fur,,Fell,,,"organisches Material aus der vom KÃ¶rper abgetrennten, mit dichten Haaren besetzten Haut von SÃ¤ugetieren.",BA652F,,,,,,,,,
